Year,Pct Pop,Total Per Year (Real) Apportionments
1991,7.3,229363387.145903
1996,6.9,226396640.721016
2001,5.9,236293719.93988
2006,5.4,296378887
2011,5.6,378311343
2016,4.4,736365237
